Time,Time,Miles,Cost,Date,,Total,Beginning Route,End Route
0822,8:22 AM,1.88 mi,$2.85 ,Friday May 11,,,,
0843,8:43 AM,1.01 mi,$2.85 ,Friday May 11,,,,
0859,8:59 AM,6.28 mi,$6.07 ,Friday May 11,,,,
0932,9:32 AM,11.16 mi,$11.44 ,Friday May 11,,,,
0949,9:49 AM,22.46 mi,$20.40 ,Friday May 11,,,,
1025,10:25 AM,7.72 mi,$7.92 ,Friday May 11,,,,
1100,11:00 AM,11.57 mi,$9.73 ,Friday May 11,,,,
1212,12:12 PM,41.60 mi,$32.69 ,Friday May 11,,,,
1304,1:04 PM,3.16 mi,$3.53 ,Friday May 11,,,,
1331,1:31 PM,20.97 mi,$22.83 ,Friday May 11,,,,
1422,2:22 PM,5.62 mi,$5.56 ,Friday May 11,,,,
1457,2:57 PM,5.53 mi,$5.94 ,Friday May 11,,,,
1523,3:23 PM,21.64 mi,$20.47 ,Friday May 11,,,,
0655,6:55 AM,8.46 mi,$10.09 ,Mon May 14,,,,
0730,7:30 AM,1.69 mi,$2.85 ,Mon May 14,,,,
0747,7:47 AM,15.81 mi,$13.64 ,Mon May 14,,,,
0846,8:46 AM,3.21 mi,$3.86 ,Mon May 14,,,,
0906,9:06 AM,9.39 mi,$13.87 ,Mon May 14,,,,
0927,9:27 AM,4.23 mi,$4.30 ,Mon May 14,,,,
0941,9:41 AM,3.89 mi,$4.15 ,Mon May 14,,,,
1000,10:00 AM,1.39 mi,$2.89 ,Mon May 14,,,,
1012,10:12 AM,8.03 mi,$10.78 ,Mon May 14,,,,
1110,11:10 AM,7.42 mi,$7.35 ,Mon May 14,,,,
1140,11:40 AM,17.57 mi,$14.54 ,Mon May 14,,,,
1246,12:46 PM,10.76 mi,$11.10 ,Mon May 14,,,,
1306,1:06 PM,7.06 mi,$13.85 ,Mon May 14,,,,
1342,1:42 PM,2.91 mi,$3.24 ,Mon May 14,,,,
1400,2:00 PM,7.02 mi,$6.69 ,Mon May 14,,,,
1425,2:25 PM,1.79 mi,$2.85 ,Mon May 14,,,,
1443,2:43 PM,1.52 mi,$2.85 ,Mon May 14,,,,
1504,3:04 PM,2.12 mi,$2.85 ,Mon May 14,,,,
1516,3:16 PM,11.49 mi,$11.77 ,Mon May 14,,,,
1553,3:53 PM,3.23 mi,$5.12 ,Mon May 14,,,,
1616,4:16 PM,15.80 mi,$14.71 ,Mon May 14,,,,
1715,5:15 PM,22.10 mi,$21.28 ,Mon May 14,,,,
1759,5:59 PM,10.27 mi,$11.18 ,Mon May 14,,,,
0637,6:37 AM,6.07 mi,$5.84 ,Tue May 15,,,,
0703,7:03 AM,14.73 mi,$19.90 ,Tue May 15,,,,
0741,7:41 AM,20.56 mi,$19.02 ,Tue May 15,,,,
0814,8:14 AM,18.88 mi,$20.55 ,Tue May 15,,,,
0851,8:51 AM,20.12 mi,$18.85 ,Tue May 15,,,,
0934,9:34 AM,14.58 mi,$14.57 ,Tue May 15,,,,
1018,10:18 AM,18.19 mi,$21.89 ,Tue May 15,,,,
1112,11:12 AM,11.19 mi,$16.25 ,Tue May 15,,,,
1135,11:35 AM,23.03 mi,$29.21 ,Tue May 15,,,,
1216,12:16 PM,1.13 mi,$2.85 ,Tue May 15,,,,
1244,12:44 PM,3.26 mi,$3.59 ,Tue May 15,,,,
1336,1:36 PM,21.22 mi,$17.49 ,Tue May 15,,,,
1415,2:15 PM,3.90 mi,$3.97 ,Tue May 15,,,,
1436,2:36 PM,4.26 mi,$4.39 ,Tue May 15,,,,
1516,3:16 PM,5.98 mi,$5.89 ,Tue May 15,,,,
0630,6:30 AM,7.15 mi,$8.74 ,Wed May 16,,,,
0703,7:03 AM,9.24 mi,$9.00 ,Wed May 16,,,,
0727,7:27 AM,7.27 mi,$8.36 ,Wed May 16,,,,
0811,8:11 AM,0.00 mi,$3.75 ,Wed May 16,,,,
0846,8:46 AM,5.65 mi,$10.61 ,Wed May 16,,,,
0937,9:37 AM,22.58 mi,$18.58 ,Wed May 16,,,,
1017,10:17 AM,4.86 mi,$5.65 ,Wed May 16,,,,
1031,10:31 AM,17.66 mi,$14.68 ,Wed May 16,,,,
1135,11:35 AM,2.21 mi,$2.85 ,Wed May 16,,,,
1211,12:11 PM,1.46 mi,$2.85 ,Wed May 16,,,,
1215,12:15 PM,5.32 mi,$5.20 ,Wed May 16,,,,
1239,12:39 PM,3.59 mi,$3.73 ,Wed May 16,,,,
1253,12:53 PM,0.00 mi,$3.75 ,Wed May 16,,,,
1329,1:29 PM,11.97 mi,$10.39 ,Wed May 16,,,,
1357,1:57 PM,40.21 mi,$32.21 ,Wed May 16,,,,
1444,2:44 PM,30.64 mi,$34.82 ,Wed May 16,,,,
1608,4:08 PM,24.11 mi,$19.64 ,Wed May 16,,,,
1647,4:47 PM,7.44 mi,$7.34 ,Wed May 16,,,,
0638,6:38 AM,22.44 mi,$18.64 ,Thu May 17,,,,
0716,7:16 AM,28.36 mi,$48.01 ,Thu May 17,,,,
0826,8:26 AM,2.77 mi,$3.26 ,Thu May 17,,,,
0843,8:43 AM,3.50 mi,$3.88 ,Thu May 17,,,,
0917,9:17 AM,4.44 mi,$4.60 ,Thu May 17,,,,
0933,9:33 AM,9.28 mi,$8.35 ,Thu May 17,,,,
1011,10:11 AM,5.56 mi,$5.44 ,Thu May 17,,,,
1059,10:59 AM,22.55 mi,$18.66 ,Thu May 17,,,,
1205,12:05 PM,11.74 mi,$12.06 ,Thu May 17,,,,
1255,12:55 PM,12.08 mi,$15.30 ,Thu May 17,,,,
1358,1:58 PM,6.55 mi,$6.28 ,Thu May 17,,,,
1415,2:15 PM,11.61 mi,$10.22 ,Thu May 17,,,,
1510,3:10 PM,11.39 mi,$15.85 ,Thu May 17,,,,
1551,3:51 PM,1.60 mi,$2.85 ,Thu May 17,,,,
1603,4:03 PM,8.48 mi,$9.60 ,Thu May 17,,,,
1633,4:33 PM,18.94 mi,$16.69 ,Thu May 17,,,,
0721,7:21 AM,0.74 mi,$2.85 ,Fri May 18,,,,
0730,7:30 AM,4.46 mi,$4.78 ,Fri May 18,,,,
0749,7:49 AM,6.91 mi,$6.66 ,Fri May 18,,,,
0815,8:15 AM,6.14 mi,$7.68 ,Fri May 18,,,,
0842,8:42 AM,1.58 mi,$2.85 ,Fri May 18,,,,
0857,8:57 AM,1.87 mi,$3.05 ,Fri May 18,,,,
0913,9:13 AM,2.62 mi,$3.10 ,Fri May 18,,,,
0925,9:25 AM,13.63 mi,$11.59 ,Fri May 18,,,,
1013,10:13 AM,10.97 mi,$12.18 ,Fri May 18,,,,
1106,11:06 AM,11.02 mi,$11.52 ,Fri May 18,,,,
1126,11:26 AM,22.09 mi,$21.86 ,Fri May 18,,,,
1202,12:02 PM,1.08 mi,$2.85 ,Fri May 18,,,,
1215,12:15 PM,0.78 mi,$4.85 ,Fri May 18,,,,
1234,12:34 PM,8.03 mi,$8.85 ,Fri May 18,,,,
1253,12:53 PM,1.90 mi,$3.85 ,Fri May 18,,,,
1314,1:14 PM,0.60 mi,$2.85 ,Fri May 18,,,,
1323,1:23 PM,2.58 mi,$3.04 ,Fri May 18,,,,
1335,1:35 PM,6.45 mi,$6.07 ,Fri May 18,,,,
1414,2:14 PM,3.14 mi,$3.47 ,Fri May 18,,,,
1427,2:27 PM,9.89 mi,$15.81 ,Fri May 18,,,,
1500,3:00 PM,9.90 mi,$11.40 ,Fri May 18,,,,
1525,3:25 PM,19.96 mi,$18.89 ,Fri May 18,,,,
0630,6:30 AM,4.21 mi,$4.54 ,Mon May 21,,,,
0650,6:50 AM,7.93 mi,$8.04 ,Mon May 21,,,,
0709,7:09 AM,18.84 mi,$18.24 ,Mon May 21,,,,
0813,8:13 AM,9.97 mi,$13.58 ,Mon May 21,,,,
0829,8:29 AM,22.71 mi,$20.68 ,Mon May 21,,,,
0903,9:03 AM,1.51 mi,$4.85 ,Mon May 21,,,,
0921,9:21 AM,5.78 mi,$9.57 ,Mon May 21,,,,
0944,9:44 AM,6.08 mi,$5.74 ,Mon May 21,,,,
1047,10:47 AM,1.56 mi,$2.85 ,Mon May 21,,,,
